策略大类,策略细分,基金代码,产品名称,基金公司,上市交易所,跟踪指数,指数公司,纳入级别,是否主线,是否补充观察,是否待校验,待校验事项,是否代表产品初筛,代表产品初筛理由,信息来源备注,清洗备注,原策略大类,原策略细分,原纳入级别,原指数公司,建议策略大类,建议策略细分,建议纳入级别,建议指数公司,是否需要修改,修改类型,修改原因,后续是否需要查指数规则,分类修正备注,是否Step7代表产品,Step7代表产品级别,Step7选择理由,Step7后续需重点看的指数规则,Step7备注
红利,上证红利,510880,华泰柏瑞上证红利ETF,华泰柏瑞,上交所,上证红利指数,上证,主线,是,否,否,,是,产品名称属于典型策略方向,天天基金/基金F10：显示其采用完全复制策略跟踪上证红利指数,指数公司由指数名称初步推断,红利,上证红利,主线,上证,红利,上证红利,主线,上证,否,,,否,,是,核心代表,境内传统红利ETF的经典代表，成立早、规模较大，适合作为上证红利策略样本,样本空间、股息率筛选、成分数量、加权方式、调样频率,作为红利类第一优先级代表
红利,中证红利,515080,招商中证红利ETF,招商基金,上交所,中证红利指数,中证,主线,是,否,否,,否,,天天基金/基金F10：显示其为被动式指数基金，跟踪中证红利指数,指数公司由指数名称初步推断,红利,中证红利,主线,中证,红利,中证红利,主线,中证,否,,,否,,是,核心代表,代表中证红利指数体系，适合与上证红利、深证红利进行横向对比,中证红利指数选样标准、股息率排序、权重限制,后续需补规模和成交额
红利,中证红利,515180,易方达中证红利ETF,易方达,上交所,中证红利指数,中证,主线,是,否,否,,否,,易方达基金官网：显示代码515180、上交所上市、标的指数为中证红利指数,指数公司由指数名称初步推断,红利,中证红利,主线,中证,红利,中证红利,主线,中证,否,,,否,,否,,,,
红利,中证红利,515890,博时中证红利ETF,博时基金,上交所,中证红利指数,中证,主线,是,否,是,规模/上市日期后续用Wind校验,否,,公开ETF列表/基金销售平台：显示其跟踪中证红利指数,标记为待校验；指数公司由指数名称初步推断,红利,中证红利,主线,中证,红利,中证红利,主线,中证,否,,,是,,否,,,,
红利,中证红利,560020,汇添富中证红利ETF,汇添富,上交所,中证红利指数,中证,主线,是,否,是,规模/上市日期后续用Wind校验,否,,公开ETF列表/基金销售平台：显示其跟踪中证红利指数,标记为待校验；指数公司由指数名称初步推断,红利,中证红利,主线,中证,红利,中证红利,主线,中证,否,,,是,,否,,,,
红利,中证红利,159589,广发中证红利ETF,广发基金,深交所,中证红利指数,中证,主线,是,否,是,规模/上市日期后续用Wind校验,否,,公开ETF列表/基金销售平台：显示其跟踪中证红利指数,标记为待校验；指数公司由指数名称初步推断,红利,中证红利,主线,中证,红利,中证红利,主线,中证,否,,,是,,否,,,,
红利,中证红利,159581,万家中证红利ETF,万家基金,深交所,中证红利指数,中证,主线,是,否,是,规模/上市日期后续用Wind校验,否,,公开ETF列表/基金销售平台：显示其跟踪中证红利指数,标记为待校验；指数公司由指数名称初步推断,红利,中证红利,主线,中证,红利,中证红利,主线,中证,否,,,是,,否,,,,
红利,深证红利,159905,工银深证红利ETF,工银瑞信,深交所,深证红利股票指数,深证,主线,是,否,否,,否,,天天基金/基金F10：显示其跟踪深证红利股票指数,指数公司由指数名称初步推断,红利,深证红利,主线,深证,红利,深证红利,主线,深证,否,,,否,,是,核心代表,代表深证红利风格，可与上证红利和中证红利形成交易所与市场板块对比,深证红利指数样本空间、成长属性、行业分布,适合作为深市红利代表
红利,深证红利,159708,西部利得深证红利ETF,西部利得,深交所,深证红利指数,深证,主线,是,否,是,规模/上市日期后续用Wind校验,否,,西部利得基金官网：显示业绩基准为深证红利指数收益率,标记为待校验；指数公司由指数名称初步推断,红利,深证红利,主线,深证,红利,深证红利,主线,深证,否,,,是,,否,,,,
红利,智选高股息,159207,广发中证智选高股息策略ETF,广发基金,深交所,中证智选高股息策略指数,中证,主线,是,否,是,新产品需校验规模与上市日期,否,,广发基金官网：显示代码159207，业绩基准为中证智选高股息策略指数,策略大类由高股息标准化为红利；标记为待校验；指数公司由指数名称初步推断,红利,智选高股息,主线,中证,红利,智选高股息,主线,中证,否,,,是,,否,,,,
