策略大类,策略细分,基金代码,产品名称,基金公司,上市交易所,跟踪指数,指数公司,纳入级别,是否主线,是否补充观察,是否待校验,待校验事项,是否代表产品初筛,代表产品初筛理由,信息来源备注,清洗备注,原策略大类,原策略细分,原纳入级别,原指数公司,建议策略大类,建议策略细分,建议纳入级别,建议指数公司,是否需要修改,修改类型,修改原因,后续是否需要查指数规则,分类修正备注
红利,上证红利,510880,华泰柏瑞上证红利ETF,华泰柏瑞,上交所,上证红利指数,上证,主线,是,否,否,,是,产品名称属于典型策略方向,天天基金/基金F10：显示其采用完全复制策略跟踪上证红利指数,指数公司由指数名称初步推断,红利,上证红利,主线,上证,红利,上证红利,主线,上证,否,,,否,
红利,中证红利,515080,招商中证红利ETF,招商基金,上交所,中证红利指数,中证,主线,是,否,否,,否,,天天基金/基金F10：显示其为被动式指数基金，跟踪中证红利指数,指数公司由指数名称初步推断,红利,中证红利,主线,中证,红利,中证红利,主线,中证,否,,,否,
红利,中证红利,515180,易方达中证红利ETF,易方达,上交所,中证红利指数,中证,主线,是,否,否,,否,,易方达基金官网：显示代码515180、上交所上市、标的指数为中证红利指数,指数公司由指数名称初步推断,红利,中证红利,主线,中证,红利,中证红利,主线,中证,否,,,否,
红利,中证红利,515890,博时中证红利ETF,博时基金,上交所,中证红利指数,中证,主线,是,否,是,规模/上市日期后续用Wind校验,否,,公开ETF列表/基金销售平台：显示其跟踪中证红利指数,标记为待校验；指数公司由指数名称初步推断,红利,中证红利,主线,中证,红利,中证红利,主线,中证,否,,,是,
红利,中证红利,560020,汇添富中证红利ETF,汇添富,上交所,中证红利指数,中证,主线,是,否,是,规模/上市日期后续用Wind校验,否,,公开ETF列表/基金销售平台：显示其跟踪中证红利指数,标记为待校验；指数公司由指数名称初步推断,红利,中证红利,主线,中证,红利,中证红利,主线,中证,否,,,是,
红利,中证红利,159589,广发中证红利ETF,广发基金,深交所,中证红利指数,中证,主线,是,否,是,规模/上市日期后续用Wind校验,否,,公开ETF列表/基金销售平台：显示其跟踪中证红利指数,标记为待校验；指数公司由指数名称初步推断,红利,中证红利,主线,中证,红利,中证红利,主线,中证,否,,,是,
红利,中证红利,159581,万家中证红利ETF,万家基金,深交所,中证红利指数,中证,主线,是,否,是,规模/上市日期后续用Wind校验,否,,公开ETF列表/基金销售平台：显示其跟踪中证红利指数,标记为待校验；指数公司由指数名称初步推断,红利,中证红利,主线,中证,红利,中证红利,主线,中证,否,,,是,
红利,深证红利,159905,工银深证红利ETF,工银瑞信,深交所,深证红利股票指数,深证,主线,是,否,否,,否,,天天基金/基金F10：显示其跟踪深证红利股票指数,指数公司由指数名称初步推断,红利,深证红利,主线,深证,红利,深证红利,主线,深证,否,,,否,
红利,深证红利,159708,西部利得深证红利ETF,西部利得,深交所,深证红利指数,深证,主线,是,否,是,规模/上市日期后续用Wind校验,否,,西部利得基金官网：显示业绩基准为深证红利指数收益率,标记为待校验；指数公司由指数名称初步推断,红利,深证红利,主线,深证,红利,深证红利,主线,深证,否,,,是,
红利,智选高股息,159207,广发中证智选高股息策略ETF,广发基金,深交所,中证智选高股息策略指数,中证,主线,是,否,是,新产品需校验规模与上市日期,否,,广发基金官网：显示代码159207，业绩基准为中证智选高股息策略指数,策略大类由高股息标准化为红利；标记为待校验；指数公司由指数名称初步推断,红利,智选高股息,主线,中证,红利,智选高股息,主线,中证,否,,,是,
红利低波,中证红利低波动,512890,华泰柏瑞中证红利低波动ETF,华泰柏瑞,上交所,中证红利低波动指数,中证,主线,是,否,否,,是,原始标记为主线重点；产品名称属于典型策略方向,天天基金/基金F10：显示其跟踪中证红利低波动指数,纳入级别由主线重点标准化为主线；指数公司由指数名称初步推断,红利低波,中证红利低波动,主线,中证,红利低波,中证红利低波动,主线,中证,否,,,否,
红利低波,中证红利低波动100,515100,景顺长城中证红利低波动100ETF,景顺长城,上交所,中证红利低波动100指数,中证,主线,是,否,否,,是,原始标记为主线重点,景顺长城基金官网：显示代码515100，业绩基准为中证红利低波动100指数收益率,纳入级别由主线重点标准化为主线；指数公司由指数名称初步推断,红利低波,中证红利低波动100,主线,中证,红利低波,中证红利低波动100,主线,中证,否,,,否,
红利低波,沪深300红利低波,515300,嘉实沪深300红利低波动ETF,嘉实基金,上交所,沪深300红利低波动指数,待补充,主线,是,否,是,规模/上市日期后续用Wind校验,否,,公开基金资料：显示该产品跟踪300红利低波指数,标记为待校验；指数公司待补充,红利低波,沪深300红利低波,主线,待补充,红利低波,沪深300红利低波,主线,中证,是,指数公司补充,分类本身合理，但指数公司字段可先按沪深300指数体系初步补为中证，后续仍需终端校验,是,只修正建议指数公司，策略分类不变
红利低波,标普A股红利低波,515450,南方标普中国A股大盘红利低波50ETF,南方基金,上交所,标普中国A股大盘红利低波50指数,标普,主线,是,否,否,,是,原始标记为主线重点,天天基金/标普官网：显示其跟踪标普中国A股大盘红利低波50指数,纳入级别由主线重点标准化为主线；指数公司由指数名称初步推断,红利低波,标普A股红利低波,主线,标普,红利低波,标普A股红利低波,主线,标普,否,,,否,
红利低波,A500红利低波,561680,平安中证A500红利低波动ETF,平安基金,上交所,中证A500红利低波动指数,中证,主线,是,否,是,新产品需校验规模/上市日期,否,,平安基金资料：显示标的指数为中证A500红利低波动指数,标记为待校验；指数公司由指数名称初步推断,红利低波,A500红利低波,主线,中证,红利低波,A500红利低波,主线,中证,否,,,是,
红利低波,A500红利低波,563510,易方达中证A500红利低波动ETF,易方达,上交所,中证A500红利低波动指数,中证,主线,是,否,是,新产品需校验规模/上市日期,否,,易方达基金官网：显示该指数从中证A500中选取连续分红、股息率高且波动率低的50只证券,标记为待校验；指数公司由指数名称初步推断,红利低波,A500红利低波,主线,中证,红利低波,A500红利低波,主线,中证,否,,,是,
红利低波,A500红利低波,159296,A500红利低波ETF,待校验,深交所,中证A500红利低波动指数,中证,主线,是,否,是,管理人和产品全称待Wind校验,否,,公开资料：显示首批跟踪中证A500红利低波动指数的产品包含深市产品,标记为待校验；指数公司由指数名称初步推断,红利低波,A500红利低波,主线,中证,红利低波,A500红利低波,主线,中证,否,,,是,
红利低波,红利低波100,159307,博时中证红利低波100ETF,博时基金,深交所,中证红利低波动100指数,中证,主线,是,否,是,基金全称/规模/上市日期需Wind校验,否,,公开基金销售平台：可检索到红利低波100ETF线索,标记为待校验；指数公司由指数名称初步推断,红利低波,红利低波100,主线,中证,红利低波,红利低波100,主线,中证,否,,,是,
低波,沪深300低波,512270,华安沪深300行业中性低波ETF,华安基金,上交所,沪深300行业中性低波动指数,待补充,主线,是,否,否,,否,,华安基金产品资料概要：显示代码512270，标的指数为沪深300行业中性低波动指数,指数公司待补充,低波,沪深300低波,主线,待补充,低波,沪深300低波,主线,中证,是,指数公司补充,分类本身合理，但指数公司字段可先按沪深300指数体系初步补为中证，后续仍需终端校验,是,只修正建议指数公司，策略分类不变
