策略类型,关联代表产品代码,关联代表产品名称,指数名称,指数代码,指数公司,样本空间,选样因子,选样方法,成分股数量,加权方式,调样频率,个股权重限制,行业限制,前十大成分股,行业分布,策略理解,信息来源URL,核验状态,备注
红利,510880,华泰柏瑞上证红利ETF,上证红利指数,000015,上证/中证,上证180指数样本空间中满足市值、成交额、连续分红和股利支付率条件的沪市A股及红筹企业存托凭证,过去三年平均现金股息率、连续分红、股利支付率、规模、流动性,在样本空间内按过去三年平均现金股息率由高到低排名，选取前50只证券,50,股息率加权,每年12月第二个星期五的下一交易日调整,单只样本权重不超过10%；总市值100亿元以下样本权重不超过1%,无明确行业上限,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,传统沪市红利策略，强调高股息、分红稳定和可投资性，是境内红利ETF最经典的指数之一,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/000015_Index_Methodology_cn.pdf,已核验,核心红利代表指数
红利,515080,招商中证红利ETF,中证红利指数,000922,中证,中证全指指数样本空间中满足市值、成交额、连续分红和股利支付率条件的A股及红筹企业存托凭证,过去三年平均现金股息率、连续分红、股利支付率、规模、流动性,在样本空间内按过去三年平均现金股息率由高到低排名，选取前100只上市公司证券,100,股息率加权,每年12月第二个星期五的下一交易日调整,单只样本权重不超过10%；总市值100亿元以下样本权重不超过0.5%,无明确行业上限,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,A股全市场红利代表指数，较上证红利覆盖范围更广，是中证体系红利策略的核心,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/20231208175433-000922_Index_Methodology_cn.pdf,已核验,核心红利代表指数
红利,159905,工银深证红利ETF,深证红利指数,399324,深证/国证,深市A股,累计分红金额、日均成交金额、ROE相关条件,国证官网公开页面显示：剔除预期净资产收益率处于后50%且净资产收益率变化率处于后20%的股票，选取累计分红金额和日均成交金额综合排名位于前40名的股票作为样本股,40,待二次核验；公开页面未完整展示权重细则,待二次核验,待二次核验,待二次核验,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,深市红利代表指数，与上证红利和中证红利形成市场板块对比,https://www.cnindex.com.cn/module/index-detail.html?act_menu=1&indexCode=399324,部分核验,需后续下载完整编制方案或用Wind校验权重和调样规则
红利低波,512890,华泰柏瑞中证红利低波动ETF,中证红利低波动指数,H30269,中证,中证全指指数样本空间中满足连续分红、市值和成交额条件的上市公司证券,股息率、波动率、红利支付率、每股股息增长率,先剔除红利支付率过高或为负、每股股息增长率非正的证券；再按三年平均税后现金股息率选前75只；最后按过去一年波动率升序选前50只,50,股息率加权,每年12月第二个星期五的下一交易日调整,单只样本权重不超过15%,无明确行业上限,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,红利+低波复合策略，通过高股息和低波动筛选增强防御属性,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/H30269_Index_Methodology_cn.pdf,已核验,红利低波核心代表
红利低波,515100,景顺长城中证红利低波动100ETF,中证红利低波动100指数,930955,中证,中证全指指数样本空间,股息率、过去一年波动率、连续分红、流动性,剔除过去一年日均成交金额排名后20%；选取过去三年连续现金分红且每年现金股息率大于0的证券；先按股息率选前300只，再按过去一年波动率升序选前100只,100,股息率/过去一年波动率加权,每季度调整；3月、6月、9月、12月第二个星期五的下一交易日实施,未给单只权重上限；明确中证二级行业权重不超过20%,中证二级行业权重不超过20%,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,比中证红利低波动指数成分更多、更分散，使用股息率/波动率加权,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/20231208180204-930955_Index_Methodology_cn.pdf,已核验,红利低波100代表
红利低波,563510,易方达中证A500红利低波动ETF,中证A500红利低波动指数,932422,中证,中证A500指数样本,连续分红、股利支付率、ROE稳定性、股息率、波动率,在中证A500样本中选取过去三年连续现金分红、股利支付率合理、过去12个季度ROE标准差排名前80%的证券；按过去三年平均现金股息率选前50%作为待选样本；再按过去一年波动率升序选前50只,50,股息率加权,每半年调整；6月和12月第二个星期五的下一交易日实施,单只样本权重不超过10%,单个一级行业权重不超过30%,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,A500样本空间上的红利低波策略，体现新宽基生态与红利低波因子的结合,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/932422_Index_Methodology_cn.pdf,已核验,新方向代表
自由现金流,159201;159222,华夏国证自由现金流ETF;易方达国证自由现金流ETF,国证自由现金流指数,980092,国证,满足非ST、上市时间、无重大违规、经营正常、价格无异常波动等条件的A股和红筹企业存托凭证,自由现金流率、ROE稳定性、经营现金流质量、流动性、行业剔除,剔除最近半年日均成交金额后20%、金融或房地产行业、近12季度ROE稳定性后10%；选取自由现金流、企业价值和近三年经营现金流为正且现金流质量较好的证券；按近一年自由现金流率选前100只,100,按样本公司自由现金流计算初始权重,每季度调整；3月、6月、9月、12月第二个星期五的下一个交易日实施,单只样本权重不超过10%,剔除金融和房地产行业,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,强调企业真实现金创造能力和现金流稳定性，是自由现金流策略核心指数,https://www.cnindex.com.cn/docs/gz_980092.pdf,已核验,自由现金流核心代表
自由现金流,159233,平安中证全指自由现金流ETF,中证全指自由现金流指数,932365,中证,中证全指指数样本空间,自由现金流率、自由现金流、企业价值、连续经营现金流、盈利质量、流动性,过去一年日均成交金额排名位于前80%；剔除金融和地产；要求自由现金流和企业价值为正、连续5年经营现金流为正、盈利质量前80%；按自由现金流率选前100只,100,自由现金流加权,每季度调整；3月、6月、9月、12月第二个星期五的下一交易日实施,单只样本权重不超过10%,剔除金融和地产行业,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,中证体系自由现金流指数，便于和国证自由现金流进行规则差异对比,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/932365_Index_Methodology_cn.pdf,已核验,中证现金流代表
红利质量,159758,华夏中证红利质量ETF,中证红利质量指数,931468,中证,中证全指指数样本空间,连续分红、分红总额、再融资、股利支付率、盈利质量、毛利率、ROE均值-标准差、ROE变化,先做市值和成交额可投资性筛选；选取满足分红、再融资和股利支付率条件的证券；计算六个财务质量指标综合得分，选前50只,50,标准化后的综合得分加权,每半年调整；6月和12月第二个星期五的下一交易日实施,单只样本权重不超过10%；前五大样本权重合计不超过40%,无明确行业上限,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,红利+质量复合策略，强调分红能力和盈利质量,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/20231208180546-931468_Index_Methodology_cn.pdf,已核验,红利质量核心代表
红利质量,159209,招商中证全指红利质量ETF,中证全指红利质量指数,932315,中证,中证全指指数样本空间,连续分红、平均股利支付率、股息率、ROE稳定性、ROE、DROE、OPCFD、DP,先做市值和成交额筛选；选取过去三年连续分红且股利支付率合理证券；按股息率剔除后50%；按ROE标准差筛选；再按质量因子综合得分选前50只,50,综合得分倾斜加权,每半年调整；6月和12月第二个星期五的下一交易日实施,单只样本权重不超过10%；前五大样本权重合计不超过40%,单个一级行业权重合计不超过30%,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,红利质量扩展指数，约束更强调分红稳定、质量和行业分散,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/932315_Index_Methodology_cn.pdf,已核验,红利质量扩展代表
价值,512040,富国中证价值ETF,中证国信价值指数,931052,中证,中证全指指数样本空间中沪深市场证券,低估值、盈利能力、ESG风险、商誉、质押、流动性,先做流动性筛选；剔除大股东质押比例高、商誉占净资产比例高、ESG评级较低等证券；从具有长期价值增长潜力且估值较低证券中选取100只,100,待进一步按编制方案完整核验；官方简介为价值策略样本,待进一步核验,待进一步核验,待进一步核验,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,富国中证价值ETF跟踪的核心价值因子指数，需重点核清完整权重细则,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/20231208180210-931052_Index_Methodology_cn.pdf,部分核验,需二次打开完整PDF补齐加权、调样、权重上限字段
价值,159263,易方达国证价值100ETF,国证价值100指数,980081,国证,满足非ST、上市时间条件的A股和红筹企业存托凭证,PE倒数、股息率、自由现金流率、ROE质量、自由现金流率、流动性、市值、盈利条件,剔除近半年成交金额后20%、近半年总市值后20%、净利润小于0证券；剔除ROE均值后20%、ROE波动率前20%、自由现金流率后50%；对市盈率倒数、股息率、自由现金流率标准化后计算价值得分，选前100只,100,以价值得分倾斜因子乘自由流通市值计算初始权重,每季度调整；3月、6月、9月、12月第二个星期五的下一个交易日实施,单只样本权重不超过8%,单个国证二级行业权重不超过20%,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,国证价值指数体系代表，实际是价值+质量约束的复合价值策略,https://www.cnindex.com.cn/docs/gz_980081.pdf,已核验,价值策略代表
